Count of Victims,Age Group,Sex,MethodofKilling,Domestic Abuse,Recorded Year,Recorded Month,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,2005,Jun,Murder,Solved,Hammersmith & Fulham,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,2005,Sep,Murder,Unsolved,Hammersmith & Fulham,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2005,Apr,Murder,Solved,Westminster,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2005,May,Murder,Solved,Westminster,Asian
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,2005,Jun,Murder,Solved,Westminster,Black
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,2006,Feb,Murder,Solved,Wandsworth,White
1,13 to 19,Male,Shooting,Not Domestic Abuse,2006,Apr,Murder,Solved,Wandsworth,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Apr,Murder,Solved,Wandsworth,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Apr,Murder,Solved,Wandsworth,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,May,Murder,Solved,Wandsworth,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Jul,Murder,Solved,Wandsworth,White
1,45 to 54,Male,Shooting,Not Domestic Abuse,2006,Sep,Murder,Unsolved,Wandsworth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Dec,Murder,Unsolved,Wandsworth,Black
1,45 to 54,Male,"Physical Assault, no weapon",Domestic Abuse,2006,May,Murder,Solved,Kingston Upon Thames,White
1,55 to 64,Female,Blunt Implement,Not Domestic Abuse,2006,Dec,Murder,Solved,Kingston Upon Thames,Other
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2006,Jan,Murder,Solved,Hounslow,Asian
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Feb,Murder,Solved,Hounslow,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2006,May,Murder,Solved,Hounslow,Other
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Hounslow,Asian
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,2006,Oct,Murder,Solved,Hounslow,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jul,Murder,Solved,Richmond Upon Thames,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jan,Murder,Solved,Hillingdon,White
1,65 and over,Female,Other Methods of Killing,Domestic Abuse,2006,Jan,Murder,Solved,Hillingdon,White
1,35 to 44,Female,"Physical Assault, no weapon",Domestic Abuse,2006,Feb,Murder,Solved,Hillingdon,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,May,Murder,Solved,Hillingdon,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Aug,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2006,Oct,Murder,Solved,Hillingdon,White
1,65 and over,Female,Blunt Implement,Not Domestic Abuse,2006,Nov,Murder,Solved,Hillingdon,Asian
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,2006,Nov,Murder,Solved,Hillingdon,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Jan,Murder,Solved,Lambeth,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,2006,Feb,Murder,Solved,Lambeth,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Feb,Murder,Solved,Lambeth,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Apr,Murder,Unsolved,Lambeth,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2006,Apr,Murder,Solved,Lambeth,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2006,May,Murder,Solved,Lambeth,Asian
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,May,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,May,Murder,Solved,Lambeth,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jun,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Aug,Murder,Solved,Lambeth,White
1,45 to 54,Female,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Oct,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2006,Dec,Murder,Unsolved,Lambeth,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Dec,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2006,Feb,Murder,Solved,Merton,White
1,20 to 24,Female,Not known/Not Recorded,Domestic Abuse,2006,Feb,Murder,Solved,Merton,Other
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,2006,Jul,Murder,Solved,Merton,White
1,25 to 34,Male,Not known/Not Recorded,Domestic Abuse,2006,Oct,Murder,Solved,Merton,White
1,35 to 44,Male,"Physical Assault, no weapon",Not Domestic Abuse,2006,Nov,Murder,Solved,Merton,White
1,35 to 44,Male,"Physical Assault, no weapon",Domestic Abuse,2006,Dec,Murder,Solved,Merton,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Jan,Murder,Unsolved,Brent,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jan,Murder,Solved,Brent,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,2006,May,Murder,Solved,Brent,Asian
1,25 to 34,Male,Shooting,Not Domestic Abuse,2006,Jul,Murder,Solved,Brent,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Brent,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Oct,Murder,Solved,Brent,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,2006,Aug,Murder,Solved,Harrow,Asian
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Harrow,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jan,Murder,Solved,Camden,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,2006,Jan,Murder,Solved,Camden,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jan,Murder,Solved,Camden,Black
1,65 and over,Female,Not known/Not Recorded,Domestic Abuse,2006,Mar,Murder,Solved,Camden,White
1,65 and over,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Jun,Murder,Solved,Camden,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jun,Murder,Solved,Camden,White
1,65 and over,Male,Other Methods of Killing,Domestic Abuse,2006,Jul,Murder,Solved,Camden,White
1,25 to 34,Male,Other Methods of Killing,Domestic Abuse,2006,Sep,Murder,Solved,Camden,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Sep,Murder,Unsolved,Camden,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Oct,Murder,Solved,Camden,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Nov,Murder,Solved,Camden,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,2006,Apr,Murder,Solved,Barnet,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,May,Murder,Solved,Barnet,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2006,Jul,Murder,Solved,Barnet,White
1,13 to 19,Male,Other Methods of Killing,Not Domestic Abuse,2006,Nov,Murder,Solved,Barnet,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Mar,Murder,Unsolved,Ealing,Asian
1,55 to 64,Male,Knife or Sharp Implement,Domestic Abuse,2006,May,Murder,Solved,Ealing,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,May,Murder,Solved,Ealing,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jun,Murder,Solved,Ealing,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2006,Jul,Murder,Solved,Ealing,White
1,0 to 12,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Sep,Murder,Solved,Ealing,Asian
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,2006,Sep,Murder,Solved,Ealing,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Oct,Murder,Solved,Ealing,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,2006,Apr,Murder,Solved,Islington,Black
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,2006,Jun,Murder,Solved,Islington,White
1,13 to 19,Male,Shooting,Not Domestic Abuse,2006,Aug,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Islington,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Islington,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Islington,Black
1,0 to 12,Female,Knife or Sharp Implement,Not Domestic Abuse,2006,Jul,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jul,Murder,Solved,Haringey,White
1,13 to 19,Male,Shooting,Not Domestic Abuse,2006,Oct,Murder,Unsolved,Haringey,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2006,Dec,Murder,Solved,Haringey,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Apr,Murder,Solved,Southwark,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2006,Jul,Murder,Solved,Southwark,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Aug,Murder,Solved,Southwark,White
1,13 to 19,Male,Shooting,Not Domestic Abuse,2006,Nov,Murder,Unsolved,Southwark,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Dec,Murder,Solved,Southwark,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jan,Murder,Solved,Lewisham,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2006,Apr,Murder,Solved,Lewisham,Black
1,65 and over,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Jul,Murder,Solved,Lewisham,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2006,Sep,Murder,Unsolved,Lewisham,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Nov,Murder,Solved,Lewisham,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Feb,Murder,Solved,Bromley,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,2006,Apr,Murder,Solved,Bromley,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,May,Murder,Solved,Bromley,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Mar,Murder,Solved,Greenwich,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Mar,Murder,Solved,Greenwich,White
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,2006,Sep,Murder,Unsolved,Greenwich,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,2006,Oct,Murder,Solved,Greenwich,Asian
1,35 to 44,Female,Other Methods of Killing,Domestic Abuse,2006,Jan,Murder,Solved,Croydon,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2006,Feb,Murder,Solved,Croydon,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Mar,Murder,Solved,Croydon,Black
1,20 to 24,Female,Shooting,Not Domestic Abuse,2006,Mar,Murder,Solved,Croydon,Black
1,35 to 44,Female,Knife or Sharp Implement,Not Domestic Abuse,2006,Jun,Murder,Solved,Croydon,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jun,Murder,Solved,Croydon,White
1,45 to 54,Male,"Physical Assault, no weapon",Not Domestic Abuse,2006,Jul,Murder,Unsolved,Croydon,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Nov,Murder,Solved,Merton,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,2006,Feb,Murder,Solved,Bexley,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jul,Murder,Solved,Bexley,White
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,2006,Dec,Murder,Solved,Bexley,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,2006,Dec,Murder,Solved,Sutton,White
1,0 to 12,Female,Blunt Implement,Not Domestic Abuse,2006,Dec,Murder,Solved,Sutton,Black
1,65 and over,Male,"Physical Assault, no weapon",Not Domestic Abuse,2006,Dec,Murder,Solved,Tower Hamlets,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2006,Jan,Murder,Solved,Hackney,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2006,Jan,Manslaughter,Unsolved,Hackney,White
1,20 to 24,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Feb,Murder,Solved,Hackney,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Mar,Murder,Solved,Hackney,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,2006,Apr,Murder,Unsolved,Hackney,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Aug,Murder,Solved,Hackney,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Hackney,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Oct,Murder,Solved,Hackney,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Nov,Murder,Solved,Hackney,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Nov,Murder,Unsolved,Hackney,Black
1,20 to 24,Female,Knife or Sharp Implement,Not Domestic Abuse,2006,Dec,Murder,Solved,Hackney,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2006,Mar,Murder,Solved,Waltham Forest,White
1,35 to 44,Male,"Physical Assault, no weapon",Not Domestic Abuse,2006,Jun,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jul,Murder,Solved,Waltham Forest,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2006,Sep,Murder,Unsolved,Waltham Forest,Black
1,20 to 24,Male,Blunt Implement,Not Domestic Abuse,2006,Oct,Murder,Solved,Waltham Forest,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jan,Murder,Solved,Barking & Dagenham,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Apr,Murder,Solved,Barking & Dagenham,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2006,Apr,Manslaughter,Solved,Barking & Dagenham,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2006,Apr,Manslaughter,Solved,Barking & Dagenham,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2006,Apr,Manslaughter,Solved,Barking & Dagenham,Black
1,35 to 44,Male,Blunt Implement,Not Domestic Abuse,2006,Jun,Murder,Solved,Barking & Dagenham,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Oct,Murder,Solved,Barking & Dagenham,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Nov,Murder,Unsolved,Barking & Dagenham,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2006,Jan,Manslaughter,Unsolved,Enfield,Unrecorded / Unknown
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Feb,Murder,Solved,Enfield,Black
1,0 to 12,Female,Not known/Not Recorded,Not Domestic Abuse,2006,Apr,Murder,Solved,Enfield,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2006,Jul,Murder,Solved,Enfield,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2006,Jan,Murder,Solved,Newham,Asian
1,35 to 44,Male,Blunt Implement,Not Domestic Abuse,2006,Jan,Murder,Solved,Newham,White
1,65 and over,Male,Blunt Implement,Not Domestic Abuse,2006,Feb,Murder,Unsolved,Newham,Asian
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2006,Feb,Murder,Solved,Newham,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,2006,Mar,Murder,Solved,Newham,Asian
1,65 and over,Female,"Physical Assault, no weapon",Not Domestic Abuse,2006,Apr,Murder,Solved,Newham,Asian
1,13 to 19,Male,Other Methods of Killing,Not Domestic Abuse,2006,Apr,Manslaughter,Solved,Newham,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Aug,Murder,Solved,Newham,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,Aug,Murder,Solved,Newham,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Newham,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Sep,Murder,Solved,Newham,White
1,35 to 44,Male,Blunt Implement,Not Domestic Abuse,2006,Sep,Murder,Solved,Newham,White
1,13 to 19,Male,Knife or Sharp Implement,Domestic Abuse,2006,Oct,Murder,Unsolved,Newham,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Oct,Murder,Solved,Newham,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2006,Mar,Murder,Solved,Havering,White
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,2006,Apr,Murder,Solved,Havering,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,2006,May,Murder,Solved,Havering,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Jul,Murder,Solved,Havering,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Oct,Murder,Solved,Havering,White
1,0 to 12,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Dec,Murder,Solved,Havering,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2006,Jan,Murder,Solved,Kensington & Chelsea,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Oct,Murder,Solved,Kensington & Chelsea,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2006,May,Murder,Unsolved,Hammersmith & Fulham,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Dec,Murder,Solved,Hammersmith & Fulham,Unrecorded / Unknown
1,55 to 64,Male,Not known/Not Recorded,Not Domestic Abuse,2006,Feb,Murder,Unsolved,Westminster,White
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,2006,Aug,Murder,Solved,Westminster,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2006,Mar,Murder,Solved,Westminster,Other
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2006,Aug,Murder,Solved,Westminster,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jan,Murder,Solved,Wandsworth,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2007,Mar,Murder,Solved,Wandsworth,Asian
1,20 to 24,Female,Shooting,Not Domestic Abuse,2007,Apr,Murder,Solved,Wandsworth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Wandsworth,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Kingston Upon Thames,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,2007,Jan,Murder,Unsolved,Hounslow,White
1,65 and over,Female,Blunt Implement,Domestic Abuse,2007,Aug,Murder,Solved,Hounslow,White
1,25 to 34,Male,Blunt Implement,Domestic Abuse,2007,Sep,Murder,Solved,Hounslow,Unrecorded / Unknown
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Feb,Murder,Solved,Hillingdon,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Mar,Murder,Solved,Hillingdon,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2007,May,Murder,Solved,Hillingdon,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jul,Murder,Solved,Hillingdon,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,2007,Jan,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jan,Murder,Solved,Lambeth,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2007,Feb,Murder,Unsolved,Lambeth,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2007,Feb,Murder,Unsolved,Lambeth,Unrecorded / Unknown
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Apr,Murder,Unsolved,Lambeth,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,2007,Apr,Murder,Unsolved,Lambeth,Black
1,25 to 34,Male,"Physical Assault, no weapon",Not Domestic Abuse,2007,Jun,Murder,Solved,Lambeth,Asian
1,0 to 12,Female,Other Methods of Killing,Not Domestic Abuse,2007,Jun,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2007,Jun,Murder,Solved,Lambeth,Asian
1,25 to 34,Male,Shooting,Not Domestic Abuse,2007,Jul,Murder,Unsolved,Lambeth,Black
1,45 to 54,Female,Blunt Implement,Domestic Abuse,2007,Jul,Murder,Solved,Lambeth,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2007,Jul,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Aug,Murder,Solved,Lambeth,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2007,Aug,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2007,Aug,Murder,Solved,Lambeth,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Sep,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2007,Sep,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Sep,Murder,Solved,Lambeth,Other
1,20 to 24,Male,Shooting,Not Domestic Abuse,2007,Oct,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,2007,Oct,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,2007,Aug,Murder,Solved,Brent,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Oct,Murder,Solved,Brent,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2007,Jun,Murder,Solved,Camden,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Aug,Murder,Solved,Camden,White
1,55 to 64,Female,Knife or Sharp Implement,Not Domestic Abuse,2007,Aug,Murder,Solved,Camden,White
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,2007,Sep,Murder,Solved,Camden,White
1,55 to 64,Male,Shooting,Not Domestic Abuse,2007,Jan,Murder,Solved,Barnet,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Barnet,White
1,0 to 12,Male,"Physical Assault, no weapon",Not Domestic Abuse,2007,Oct,Murder,Solved,Barnet,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jan,Murder,Solved,Ealing,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jan,Murder,Solved,Ealing,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,May,Murder,Solved,Ealing,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Ealing,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,2007,Jun,Murder,Unsolved,Ealing,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Sep,Murder,Solved,Ealing,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2007,Sep,Murder,Unsolved,Ealing,Black
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,2007,Feb,Murder,Solved,Islington,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jun,Murder,Solved,Islington,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Dec,Murder,Solved,Islington,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Jan,Murder,Solved,Haringey,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2007,Jan,Manslaughter,Unsolved,Haringey,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,2007,Jun,Murder,Solved,Haringey,White
1,13 to 19,Female,Shooting,Not Domestic Abuse,2007,Jun,Murder,Solved,Haringey,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2007,Aug,Murder,Solved,Haringey,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,2007,Nov,Manslaughter,Solved,Haringey,Asian
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,2007,Nov,Murder,Solved,Haringey,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Feb,Murder,Solved,Southwark,Black
1,45 to 54,Male,Shooting,Not Domestic Abuse,2007,Feb,Murder,Solved,Southwark,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2007,Feb,Murder,Solved,Southwark,Black
1,20 to 24,Female,Knife or Sharp Implement,Not Domestic Abuse,2007,Apr,Murder,Solved,Southwark,Asian
1,25 to 34,Male,Other Methods of Killing,Domestic Abuse,2007,Aug,Murder,Solved,Southwark,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,2007,Sep,Murder,Unsolved,Southwark,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2007,Sep,Murder,Unsolved,Southwark,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2007,Dec,Murder,Solved,Southwark,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,2007,Dec,Murder,Unsolved,Southwark,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2007,May,Murder,Solved,Lewisham,Black
1,25 to 34,Female,Shooting,Not Domestic Abuse,2007,Oct,Murder,Solved,Lewisham,White
1,45 to 54,Female,Other Methods of Killing,Not Domestic Abuse,2007,Oct,Murder,Solved,Lewisham,Black
1,65 and over,Female,Other Methods of Killing,Domestic Abuse,2007,Nov,Murder,Solved,Lewisham,White
